Part,Qty,Unit $,Ext $
USB4085-GF-A,1,0.63,0.63
STUSB4500QTR,1,3.04,3.04
CSD17573Q5B,1,0.45,0.45
EEU-FR1V221L,1,0.32,0.32
TPS62177DQC,1,1.19,1.19
LQH44PN100MPRL,1,0.38,0.38
TPS73633DBVT,1,1.22,1.22
LM5157DGKR,1,2.7,2.7
XAL5050-472MEB,1,1.34,1.34
DRV8912-Q1,1,4.95,4.95
EEU-FR1V470,1,0.28,0.28
053261-0471,1,0.45,0.45
053261-0671,1,0.55,0.55
B2B-PH-KL,3,0.12,0.36
XZCMECBDDGK53W,1,0.28,0.28
ESP32-S3-WROOM-1-N8,1,3.4,3.4
110-44-318-41-001000,1,2.44,2.44
mp-Lowdriver,1,42.0,42.0
BP7 micropump,1,69.0,69.0
SLF3S-0600F,1,29.5,29.5
Burkert 6724 valve,3,58.0,174.0
PESD5VDUO,1,0.16,0.16
Misc passives,1,3.0,3.0
